CRH5,CRH20,CRH16,CRH10,CRH21,CRH6,CRH11,DELETE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.818359,99.951172,99.951172,88.232422,99.951172,99.951172,100.0,19.091797
100.0,27.539063,99.951172,99.951172,22.167969,99.951172,100.0,4.345703
100.0,100.0,100.0,99.951172,100.0,100.0,100.0,12.597656
99.951172,100.0,39.404297,100.0,19.677734,100.0,52.099609,20.849609
99.951172,16.162109,100.0,100.0,62.304688,99.951172,8.544922,16.357422
85.693359,2.832031,1.757813,99.951172,8.007813,99.951172,59.375,6.25
100.0,56.73828100000001,99.951172,99.951172,38.476563,100.0,100.0,8.154297
1.074219,99.951172,99.951172,99.951172,100.0,11.669922,100.0,7.470703
6.787109,99.951172,99.951172,94.433594,79.296875,99.951172,79.980469,3.6621089999999996
15.673828,79.394531,100.0,38.818359,17.382813,99.951172,56.835938,2.832031
22.265625,41.894531,100.0,99.951172,40.771484,99.951172,100.0,5.224609
99.951172,54.931641000000006,100.0,99.951172,99.951172,99.951172,100.0,24.462891
11.132813,1.318359,99.951172,99.951172,0.6835939999999999,100.0,100.0,5.517578
97.705078,100.0,99.951172,99.951172,1.025391,100.0,49.267578,19.482422
90.966797,54.492188,91.845703,99.951172,35.498047,100.0,42.333984,3.173828
99.951172,0.5371090000000001,99.951172,99.951172,41.503906,2.441406,100.0,4.736328
3.857422,22.119141,53.369141000000006,99.951172,100.0,20.849609,100.0,9.619141
9.277344,15.869141,53.662108999999994,99.951172,100.0,15.527344,100.0,4.833984
100.0,33.691406,99.951172,99.951172,77.148438,69.775391,100.0,7.373047
100.0,100.0,99.951172,99.951172,99.951172,45.166016,6.542969,1.220703
99.951172,100.0,99.951172,99.951172,100.0,100.0,64.892578,9.521484
70.458984,99.755859,100.0,99.951172,48.144531,100.0,27.392578000000004,9.863281
12.646484,40.185547,100.0,99.951172,99.951172,100.0,63.37890600000001,9.326172
100.0,32.373047,100.0,99.951172,16.992188,100.0,38.916016,6.933594
35.449219,100.0,100.0,99.951172,82.128906,7.080078,52.685547,1.464844
46.533203,99.951172,100.0,99.951172,28.857421999999996,100.0,87.451172,5.859375
69.238281,99.951172,100.0,25.292969,100.0,100.0,77.197266,15.380859
6.347656,76.806641,47.412109,84.667969,99.951172,100.0,61.083983999999994,18.066406
1.220703,99.951172,100.0,100.0,99.951172,100.0,23.486328,5.566406
10.058594,38.769531,100.0,100.0,100.0,100.0,30.761719,2.587891
15.136719,69.628906,12.988281,100.0,100.0,45.898438,23.339844,1.708984
18.017578,33.203125,97.949219,100.0,77.587891,100.0,65.332031,21.142578
100.0,100.0,66.699219,100.0,78.076172,82.177734,44.189453,26.855469
55.126953,38.037109,99.951172,96.044922,23.974609,100.0,99.951172,1.3671879999999998
66.210938,0.09765599999999999,99.951172,100.0,18.945313,100.0,99.951172,9.667969
73.046875,45.019531,10.9375,100.0,29.003906,100.0,45.605469,9.423828
49.853516,18.505859,99.951172,99.951172,14.404297,99.951172,0.6835939999999999,10.205078
72.460938,0.878906,99.951172,100.0,2.587891,99.951172,0.09765599999999999,6.738281
100.0,1.8554689999999998,99.951172,100.0,14.794922,99.951172,7.958984,12.255859
41.015625,2.197266,99.951172,100.0,24.511719,99.951172,6.201172,10.742188
67.626953,8.935547,99.951172,100.0,8.300781,99.951172,3.222656,0.439453
25.439453,31.884766,100.0,37.646484,49.658203,99.951172,47.949219,4.492188
37.597656,99.951172,83.886719,100.0,65.429688,99.951172,48.095703,3.466797
50.439453,80.761719,99.951172,100.0,92.285156,87.207031,13.671875,0.5371090000000001
99.951172,54.882813,71.679688,29.345703000000004,59.179688,99.951172,100.0,0.09765599999999999
57.421875,37.304688,85.986328,68.017578,76.464844,100.0,100.0,6.933594
11.230469,100.0,67.675781,100.0,78.808594,100.0,45.3125,5.46875
67.431641,100.0,34.521484,90.917969,78.515625,100.0,35.888672,16.308594
99.951172,55.859375,50.927734,99.951172,61.523438,100.0,63.525391000000006,19.53125
24.511719,100.0,100.0,100.0,100.0,99.951172,25.244141,12.304688
45.166016,100.0,100.0,100.0,99.951172,65.722656,5.029297,14.648438
11.572266,100.0,99.951172,99.951172,99.951172,35.107422,36.376953,26.757813
100.0,100.0,33.300781,90.966797,100.0,99.951172,18.164063,7.03125
24.072266,100.0,28.027344,23.681641,12.939453,27.978516,10.595703,15.869141
99.951172,100.0,66.503906,100.0,78.955078,89.990234,16.992188,14.746094
99.951172,67.333984,35.644531,44.238281,74.072266,73.828125,7.421875,12.207031
100.0,77.001953,49.902344,100.0,1.806641,100.0,19.287109,8.154297
100.0,99.951172,100.0,100.0,43.554688,99.951172,7.958984,4.736328
29.541016,95.263672,100.0,99.951172,14.0625,99.951172,7.568359,11.328125
99.951172,99.951172,100.0,99.951172,9.521484,16.40625,10.400391,0.048827999999999996
99.951172,99.951172,100.0,72.314453,12.402344,6.298828,8.642578,2.441406
100.0,99.951172,100.0,24.511719,51.708984,47.509766,14.355469,12.841797
6.8359380000000005,14.257813,100.0,100.0,99.951172,99.951172,1.3671879999999998,5.371094
66.113281,100.0,100.0,100.0,89.208984,99.951172,56.34765600000001,17.822266
12.255859,100.0,100.0,100.0,100.0,100.0,18.75,11.669922
99.951172,100.0,100.0,100.0,10.742188,99.951172,25.732422,32.910156
22.167969,99.951172,31.054688,100.0,99.951172,99.951172,10.9375,16.748047
100.0,99.951172,99.951172,100.0,17.529297,99.951172,0.0,16.210938
76.464844,99.951172,99.951172,100.0,6.396484,99.951172,43.310547,14.404297
99.951172,99.316406,99.951172,100.0,14.697266,99.951172,34.179688,2.929688
55.810547,71.484375,16.308594,100.0,17.675781,99.951172,9.667969,13.378906
33.300781,99.951172,100.0,100.0,49.072266,99.951172,15.429688,26.806641
0.732422,15.673828,99.951172,83.691406,98.388672,99.951172,12.695313,0.292969
12.988281,54.150391000000006,68.310547,99.951172,100.0,99.951172,67.822266,1.6601560000000002
99.951172,99.951172,100.0,85.449219,99.951172,99.951172,74.755859,5.029297
47.851563,88.769531,77.539063,88.378906,51.855469,99.951172,100.0,2.441406
100.0,100.0,99.951172,99.951172,100.0,3.173828,99.951172,7.714844
20.3125,41.308594,99.951172,99.951172,99.951172,100.0,35.400391,8.984375
99.951172,99.951172,37.011719,75.78125,7.910156,100.0,100.0,9.960938
65.234375,100.0,99.951172,99.951172,45.605469,100.0,100.0,0.19531300000000001
65.136719,98.779297,99.951172,99.951172,9.619141,100.0,99.951172,17.919922
39.84375,30.517578000000004,99.951172,100.0,27.490234,100.0,71.728516,5.029297
35.400391,31.005859,99.951172,100.0,14.208984,100.0,90.820313,0.9277340000000001
2.050781,83.251953,99.951172,61.328125,12.5,100.0,99.951172,10.009766
100.0,15.673828,99.951172,99.951172,5.957031,100.0,99.951172,11.816406
100.0,99.951172,99.951172,100.0,4.736328,100.0,20.849609,0.19531300000000001
6.542969,89.892578,99.951172,100.0,12.353516,99.951172,99.951172,21.09375
99.951172,27.392578000000004,73.193359,99.951172,1.611328,99.951172,99.951172,3.515625
89.013672,93.066406,99.951172,99.951172,30.761719,24.462891,24.511719,21.875
100.0,99.951172,53.61328100000001,99.951172,30.517578000000004,100.0,30.029296999999996,6.542969
65.087891,2.685547,81.494141,100.0,22.119141,100.0,62.158203,9.814453
56.591797,1.953125,98.095703,30.810546999999996,56.640625,57.861328,50.244141,13.574219
6.884766,80.322266,100.0,99.951172,11.083984,99.951172,70.361328,1.416016
15.917969,99.951172,57.71484399999999,99.951172,49.511719,100.0,20.751953,3.955078
88.085938,16.796875,14.013672,2.734375,5.371094,100.0,88.671875,5.46875
99.951172,79.003906,72.705078,47.558594,82.03125,100.0,100.0,3.173828
40.185547,39.0625,94.384766,95.214844,22.070313,100.0,70.410156,13.037109
19.53125,100.0,100.0,78.320313,3.7597660000000004,100.0,25.244141,0.6347659999999999
5.566406,30.078125,100.0,99.951172,2.783203,100.0,21.142578,4.150391
4.345703,100.0,38.427734,99.951172,3.027344,53.857422,35.15625,0.5371090000000001
9.619141,100.0,44.970703,81.542969,0.488281,99.951172,14.453125,8.544922
1.416016,30.46875,99.951172,99.951172,5.371094,61.669922,99.951172,2.636719
0.732422,59.716797,99.951172,99.951172,4.736328,100.0,99.951172,8.496094
18.359375,13.964844,99.951172,68.505859,66.748047,100.0,99.951172,7.275391
6.933594,99.951172,99.951172,99.951172,61.03515600000001,100.0,13.671875,9.130859
7.714844,87.451172,100.0,99.951172,70.605469,70.3125,100.0,0.048827999999999996
16.796875,99.951172,99.951172,99.951172,42.382813,49.462891,100.0,5.810547
13.818359,26.464844,99.951172,99.951172,41.503906,99.951172,18.164063,4.492188
27.929688,99.951172,100.0,80.517578,100.0,99.951172,58.984375,15.771484
5.175781,99.951172,69.970703,99.951172,15.625,99.951172,99.951172,1.416016
14.941406,99.951172,99.951172,99.951172,99.951172,88.623047,99.951172,2.148438
10.205078,99.951172,11.621094,99.951172,20.263672,100.0,85.742188,11.474609
0.048827999999999996,99.951172,100.0,99.951172,25.683594,100.0,29.248046999999996,2.246094
9.033203,99.951172,86.572266,100.0,96.533203,100.0,27.001953000000004,11.914063
28.369141,99.951172,96.240234,66.552734,69.677734,100.0,17.089844,16.015625
34.667969,57.71484399999999,99.951172,99.951172,18.701172,100.0,100.0,25.048828
21.337891,61.328125,79.736328,100.0,16.113281,100.0,100.0,6.445313
4.394531,16.796875,99.951172,100.0,100.0,100.0,100.0,0.6347659999999999
17.724609,75.585938,99.951172,39.208984,99.951172,94.238281,99.951172,19.238281
31.396484,100.0,99.951172,100.0,99.951172,56.396483999999994,16.455078,27.294921999999996
49.755859,100.0,100.0,100.0,100.0,40.380859,100.0,34.472656
18.457031,79.248047,100.0,99.951172,22.949219,99.951172,19.042969,11.572266
19.921875,36.230469,100.0,99.951172,42.822266,99.951172,99.951172,6.591797
36.328125,100.0,100.0,99.951172,23.4375,7.910156,99.951172,25.537109
6.054688,100.0,100.0,100.0,6.298828,99.951172,93.945313,2.441406
3.3691410000000004,100.0,100.0,100.0,6.445313,65.576172,1.416016,12.744141
13.378906,100.0,100.0,100.0,5.371094,99.951172,17.529297,15.332031
12.646484,100.0,25.341797,100.0,5.029297,62.109375,99.951172,0.8300780000000001
15.332031,47.802734,100.0,99.951172,20.849609,36.767578,2.148438,3.7597660000000004
10.595703,99.951172,100.0,99.951172,3.125,99.951172,100.0,2.34375
4.003906,99.951172,99.951172,99.951172,1.074219,99.951172,10.888672,9.472656
13.427734,99.951172,99.951172,99.951172,16.699219,99.951172,29.6875,8.447266
36.865234,48.681641,99.951172,1.220703,7.519531,99.951172,65.234375,5.859375
12.988281,89.160156,99.951172,100.0,19.482422,86.523438,17.041016,3.173828
17.919922,97.119141,99.951172,100.0,23.388672,40.820313,29.003906,10.888672
22.949219,79.541016,100.0,100.0,44.091797,99.951172,50.732422,8.740234
10.693359,100.0,100.0,99.951172,33.300781,100.0,51.025391,9.082031
41.210938,58.837891000000006,100.0,99.951172,4.101563,100.0,10.742188,12.939453
11.083984,100.0,100.0,99.951172,6.152344,58.30078100000001,53.466797,3.271484
14.599609,100.0,100.0,100.0,0.6347659999999999,6.738281,22.558594,9.912109
58.10546899999999,100.0,100.0,8.007813,6.298828,99.951172,2.050781,3.173828
10.888672,100.0,100.0,100.0,32.958984,2.246094,43.066406,6.25
10.791016,99.951172,56.93359399999999,100.0,13.134766,99.951172,83.886719,1.318359
28.564453000000004,1.757813,69.921875,45.898438,17.96875,49.902344,100.0,6.347656
3.125,12.451172,99.951172,99.951172,29.931641,99.951172,100.0,2.783203
9.277344,2.490234,99.951172,100.0,29.6875,4.6875,100.0,11.132813
26.269531,18.994141,99.951172,57.568358999999994,24.951172,57.32421899999999,100.0,8.935547
32.080078,39.404297,99.951172,99.951172,48.388672,99.951172,100.0,15.478516
0.78125,5.712891,53.80859399999999,82.568359,26.123047,99.951172,100.0,23.4375
100.0,14.648438,100.0,100.0,29.589844,69.482422,100.0,19.189453
29.833984,35.595703,100.0,26.904296999999996,28.955078000000004,99.951172,83.007813,17.626953
57.080078,31.787109,100.0,6.25,2.832031,99.951172,62.20703100000001,2.246094
40.087891,99.951172,100.0,100.0,6.298828,100.0,48.583984,13.818359
29.931641,99.951172,100.0,100.0,59.912108999999994,100.0,99.951172,18.994141
99.951172,99.951172,100.0,100.0,99.951172,48.339844,99.951172,37.988281
3.3203129999999996,99.951172,99.951172,100.0,100.0,99.951172,100.0,22.265625
45.458984,45.898438,99.951172,100.0,100.0,100.0,100.0,41.015625
49.316406,100.0,99.951172,100.0,99.951172,100.0,100.0,12.158203
85.205078,99.462891,99.951172,40.136719,3.3691410000000004,99.951172,100.0,26.513671999999996
1.025391,6.103516,99.951172,52.197266,28.808594,85.15625,100.0,15.869141
64.306641,43.115234,99.951172,100.0,98.779297,100.0,100.0,27.539063
11.816406,52.539063,99.951172,100.0,99.951172,99.951172,21.240234,13.867188
100.0,100.0,44.824219,100.0,30.371094,99.951172,99.462891,17.773438
84.423828,58.88671899999999,99.951172,100.0,70.458984,76.611328,99.951172,6.25
99.951172,100.0,99.951172,100.0,48.486328,63.37890600000001,99.951172,6.103516
16.210938,9.326172,99.951172,100.0,7.373047,18.212891,99.951172,7.421875
75.830078,100.0,100.0,98.681641,84.326172,51.269531,99.951172,18.896484
100.0,100.0,100.0,61.083983999999994,99.951172,36.083984,99.951172,16.503906
89.404297,100.0,100.0,25.292969,84.912109,74.658203,99.951172,9.814453
99.951172,100.0,100.0,100.0,100.0,65.820313,99.951172,4.882813
34.423828,100.0,100.0,54.78515600000001,99.951172,99.951172,99.951172,0.6835939999999999
100.0,100.0,100.0,99.951172,30.517578000000004,99.951172,81.982422,19.921875
10.351563,100.0,60.742188,6.445313,32.714844,99.951172,40.966797,2.685547
5.46875,100.0,12.744141,74.804688,8.642578,99.951172,100.0,19.189453
13.671875,100.0,31.298828000000004,99.951172,18.847656,99.951172,100.0,5.859375
37.060547,43.457031,99.951172,99.951172,9.521484,92.138672,100.0,5.712891
14.208984,69.140625,100.0,99.951172,14.648438,100.0,34.277344,13.818359
99.951172,65.722656,100.0,99.951172,99.951172,100.0,99.951172,3.027344
100.0,99.951172,100.0,67.96875,11.914063,49.511719,31.787109,8.691406
57.861328,99.951172,100.0,99.951172,100.0,21.728516,45.996094,2.148438
70.3125,99.951172,100.0,99.951172,27.001953000000004,100.0,99.951172,18.994141
77.148438,99.951172,100.0,30.322266,73.144531,100.0,99.951172,13.037109
32.568359,99.951172,100.0,99.951172,23.242188,44.726563,43.603516,12.548828
67.333984,70.996094,100.0,99.951172,30.566406,26.708984,22.558594,16.845703
70.605469,80.664063,18.457031,9.960938,100.0,19.677734,46.582031,2.587891
19.628906,52.050781,97.65625,99.951172,99.951172,100.0,10.693359,3.466797
99.951172,49.755859,100.0,99.951172,99.951172,100.0,4.443359,1.8554689999999998
4.345703,32.958984,99.951172,99.951172,100.0,100.0,27.636719,0.5371090000000001
83.740234,27.783203000000004,99.951172,100.0,82.910156,3.027344,8.056641,9.277344
14.84375,47.851563,9.960938,100.0,99.951172,99.951172,38.476563,8.300781
33.496094,43.701172,99.951172,59.47265600000001,99.951172,99.951172,15.722656,0.5371090000000001
72.363281,2.197266,99.951172,100.0,100.0,99.951172,8.398438,14.111328
100.0,46.923828,45.068359,26.513671999999996,100.0,99.951172,14.794922,6.103516
11.230469,49.755859,82.421875,100.0,99.951172,99.951172,64.257813,8.789063
44.53125,41.601563,99.951172,7.421875,2.636719,99.951172,62.548828,8.642578
2.587891,15.527344,99.951172,99.951172,68.505859,99.951172,48.144531,4.492188
16.992188,100.0,10.791016,99.951172,100.0,100.0,99.951172,1.171875
34.277344,100.0,4.101563,9.667969,63.28125,18.652344,99.951172,6.298828
32.8125,100.0,36.669922,67.578125,37.744141,99.951172,99.951172,12.597656
8.349609,100.0,11.621094,99.951172,31.689453000000004,72.65625,99.951172,0.6835939999999999
10.546875,17.089844,99.951172,41.503906,1.611328,36.230469,99.951172,5.224609
18.798828,3.222656,100.0,1.025391,9.228516,100.0,99.951172,1.953125
28.955078000000004,45.458984,100.0,32.177734,35.498047,100.0,99.951172,4.541016
52.44140600000001,99.951172,100.0,99.951172,65.625,100.0,36.181641,16.992188
0.09765599999999999,99.951172,100.0,73.291016,35.888672,100.0,100.0,3.076172
2.636719,58.837891000000006,89.404297,100.0,100.0,100.0,66.796875,7.177734
14.892578,99.951172,99.951172,76.464844,99.951172,100.0,99.951172,8.056641
4.003906,99.951172,99.951172,100.0,45.3125,100.0,99.951172,17.529297
45.410156,99.951172,99.951172,100.0,100.0,100.0,99.951172,9.130859
26.123047,43.896484,99.951172,99.951172,99.951172,83.203125,99.951172,14.257813
78.027344,99.951172,99.951172,49.414063,99.951172,99.951172,20.654297,0.390625
75.78125,99.951172,99.951172,100.0,100.0,100.0,100.0,26.904296999999996
74.414063,56.494141000000006,99.951172,100.0,100.0,100.0,100.0,15.478516
8.496094,100.0,99.951172,61.03515600000001,45.605469,99.951172,100.0,23.730469
73.193359,99.951172,95.947266,100.0,99.951172,99.951172,100.0,22.802734
17.96875,99.951172,99.951172,92.089844,43.505859,86.865234,100.0,9.130859
12.011719,55.419922,99.951172,99.951172,40.478516,100.0,100.0,9.082031
9.277344,80.175781,99.951172,99.951172,88.378906,100.0,89.160156,0.0
16.210938,56.103516000000006,99.951172,99.951172,59.27734399999999,100.0,100.0,2.001953
