Rat13,Rat8,Rat2,Rat7,Rat12,Rat17,Rat1
15.185547,99.951172,18.847656,42.871094,58.30078100000001,1.123047,98.4375
61.523438,99.951172,43.798828,35.205078,1.123047,48.779297,4.345703
41.210938,99.267578,20.068359,99.121094,80.712891,20.263672,31.25
37.548828,98.925781,18.261719,15.820313,37.841797,1.513672,38.574219
4.882813,99.951172,3.466797,97.851563,22.167969,97.558594,98.583984
35.449219,31.738281,88.427734,99.169922,1.123047,73.828125,98.535156
14.355469,42.724609,25.439453,99.169922,12.792969,60.498047,14.111328
6.25,34.277344,61.767578,99.169922,39.404297,36.328125,19.53125
4.638672,32.958984,27.734375,99.169922,17.822266,99.951172,73.876953
1.611328,3.3691410000000004,47.558594,76.806641,10.644531,95.410156,84.472656
1.611328,11.816406,34.472656,98.779297,85.058594,99.21875,99.951172
36.279297,1.806641,95.361328,98.535156,35.400391,98.291016,99.951172
23.144531,4.833984,53.369141000000006,98.242188,38.916016,83.740234,99.951172
16.162109,2.392578,24.804688,98.4375,99.951172,99.951172,99.951172
25.927734,4.101563,98.4375,71.289063,49.804688,1.806641,10.498047
59.47265600000001,7.8125,90.771484,84.814453,99.951172,98.925781,20.019531
99.951172,4.589844,97.753906,99.951172,1.5625,99.951172,4.541016
99.951172,41.796875,83.740234,99.951172,90.039063,99.951172,12.011719
99.951172,11.71875,41.894531,99.951172,60.546875,52.978516000000006,7.03125
99.951172,34.423828,51.806641,99.951172,11.523438,27.734375,87.744141
99.951172,2.929688,58.88671899999999,99.951172,14.746094,64.648438,86.523438
99.951172,54.052733999999994,23.779297,99.951172,99.951172,34.960938,99.951172
99.951172,48.632813,99.951172,99.951172,35.888672,27.783203000000004,98.632813
37.988281,16.650391,8.300781,99.951172,49.951172,15.673828,99.121094
98.242188,20.166016,38.720703,99.951172,13.232422,16.308594,99.023438
24.169922,5.224609,64.746094,99.951172,50.585938,12.939453,45.019531
99.951172,1.3671879999999998,53.515625,13.330078,98.535156,9.082031,23.876953
99.951172,7.2265630000000005,36.328125,88.964844,23.828125,4.492188,26.269531
79.248047,7.128906,45.751953,44.580078,34.716797,3.173828,28.662109
98.730469,23.046875,24.755859,89.0625,98.388672,5.615234,33.300781
98.242188,7.324219,23.4375,98.779297,5.273438,1.269531,42.480469
99.414063,25.488281,31.835938,97.460938,99.951172,8.496094,85.9375
99.511719,10.253906,14.990234,99.951172,99.951172,4.003906,99.951172
99.414063,7.568359,41.503906,75.78125,99.951172,1.025391,66.113281
99.560547,4.296875,58.69140600000001,98.828125,99.023438,9.130859,8.203125
99.951172,4.6875,98.144531,98.144531,98.681641,18.164063,98.779297
12.011719,8.300781,73.925781,51.318359,99.951172,99.951172,99.21875
99.462891,9.326172,12.988281,75.537109,78.515625,36.962891,99.267578
8.447266,1.220703,1.757813,99.951172,34.521484,99.169922,99.121094
99.951172,5.615234,37.792969,99.951172,98.583984,22.216797,99.072266
99.951172,5.517578,79.833984,34.033203,98.339844,89.550781,99.023438
99.951172,18.75,45.947266,26.708984,21.533203,7.910156,55.517578
28.222656,2.099609,3.3203129999999996,41.455078,70.800781,85.15625,12.646484
99.462891,12.060547,58.642578,46.435547,92.919922,77.587891,17.138672
82.373047,2.880859,67.773438,46.435547,6.738281,62.98828100000001,41.894531
97.900391,8.105469,2.880859,14.306641,36.71875,20.117188,58.789063
99.21875,2.929688,2.734375,45.166016,14.84375,67.041016,99.951172
99.414063,3.027344,25.830078,99.951172,33.007813,99.951172,21.923828
98.730469,7.373047,50.341797,74.414063,9.765625,79.6875,98.730469
92.626953,6.542969,18.701172,54.833983999999994,12.548828,99.267578,99.21875
55.273438,3.222656,24.902344,21.142578,5.664063,98.876953,81.201172
44.140625,14.648438,1.171875,7.470703,9.375,99.951172,99.951172
2.197266,0.78125,11.523438,12.451172,7.177734,8.837891,99.951172
99.414063,36.572266,41.40625,9.765625,3.076172,52.001953,47.705078
99.511719,9.570313,68.310547,6.738281,97.558594,14.306641,98.974609
98.486328,14.404297,76.074219,0.19531300000000001,59.326172,14.746094,94.873047
98.974609,17.333984,51.953125,99.951172,61.523438,27.050781,53.41796899999999
99.462891,0.292969,69.042969,99.951172,58.984375,9.765625,19.824219
99.267578,2.539063,80.957031,99.951172,99.951172,5.712891,99.951172
99.414063,21.386719,39.990234,99.951172,99.951172,27.685546999999996,99.951172
99.414063,14.794922,48.242188,99.951172,16.845703,9.814453,98.681641
99.414063,17.1875,27.978516,99.951172,99.267578,3.271484,45.068359
99.414063,6.494141,14.697266,99.951172,98.242188,61.962891000000006,22.802734
99.462891,30.859375,4.492188,99.951172,91.015625,67.480469,81.152344
98.4375,17.822266,52.294922,99.951172,1.269531,92.333984,99.951172
99.560547,2.832031,30.371094,99.951172,53.90625,35.693359,99.951172
99.267578,0.976563,7.568359,67.1875,0.292969,7.470703,68.310547
99.951172,31.25,95.556641,99.169922,25.048828,16.552734,31.738281
81.884766,19.287109,28.027344,99.21875,3.222656,5.517578,98.681641
17.578125,10.253906,53.857422,98.925781,23.486328,2.978516,98.974609
99.951172,2.636719,16.162109,98.779297,10.351563,41.308594,23.583984
99.951172,21.09375,16.503906,98.779297,21.972656,2.246094,99.951172
99.951172,31.445313,5.224609,89.453125,72.460938,1.5625,99.951172
99.951172,6.8359380000000005,15.039063,75.0,9.765625,20.605469,99.072266
99.951172,10.693359,22.021484,97.900391,47.167969,97.998047,98.974609
16.162109,11.71875,4.882813,71.337891,99.072266,99.267578,99.951172
29.492188,4.492188,0.976563,99.951172,99.21875,99.951172,99.951172
34.130859,14.160156,1.757813,99.951172,94.384766,9.619141,98.046875
99.951172,1.318359,2.685547,2.587891,43.505859,98.046875,19.384766
99.951172,6.8359380000000005,2.636719,5.615234,99.951172,10.693359,46.142578
99.951172,20.507813,6.738281,98.535156,83.398438,20.117188,99.951172
99.169922,0.976563,5.859375,89.306641,51.025391,6.542969,79.150391
89.257813,32.128906,9.619141,2.734375,99.951172,55.76171899999999,98.291016
69.384766,31.884766,1.269531,86.669922,99.951172,43.798828,25.830078
61.42578100000001,1.9042970000000001,12.207031,97.949219,28.710938,99.951172,10.009766
73.632813,0.34179699999999996,3.027344,99.023438,30.761719,56.689453,76.367188
99.951172,6.689453,22.900391,98.876953,45.117188,99.21875,50.390625
99.951172,5.273438,22.851563,97.509766,27.001953000000004,43.652344,92.578125
99.414063,0.244141,21.630859,46.289063,7.2265630000000005,58.837891000000006,1.953125
99.414063,0.19531300000000001,23.4375,18.945313,1.6601560000000002,38.28125,99.951172
99.462891,4.150391,73.144531,36.767578,26.416016,69.726563,39.550781
99.414063,10.693359,12.988281,13.378906,25.097656,16.210938,36.865234
99.121094,0.6347659999999999,20.214844,10.888672,25.976563,27.783203000000004,32.714844
50.830078,32.470703,22.900391,13.037109,53.076172,10.400391,54.345703
99.365234,14.941406,9.814453,42.431641,44.726563,3.6621089999999996,3.125
98.046875,52.685547,66.113281,20.507813,16.601563,1.074219,48.632813
99.951172,22.119141,17.1875,6.005859,32.470703,4.199219,6.640625
99.951172,3.8085940000000003,15.869141,59.86328100000001,31.005859,9.228516,44.53125
99.951172,6.396484,11.572266,79.199219,76.074219,87.939453,47.265625
99.951172,6.982422,27.929688,97.900391,81.738281,20.068359,12.890625
99.414063,5.224609,27.636719,99.951172,99.951172,99.951172,79.248047
98.632813,9.423828,8.886719,10.595703,99.951172,99.951172,65.771484
99.951172,5.029297,14.697266,6.738281,99.951172,97.949219,53.515625
99.951172,4.296875,30.322266,15.820313,41.650391,97.949219,98.486328
99.951172,0.976563,96.923828,91.308594,97.65625,41.748047,99.951172
99.951172,1.123047,55.273438,99.951172,98.583984,7.421875,99.951172
99.951172,0.19531300000000001,12.353516,20.800781,98.291016,6.8359380000000005,99.951172
99.951172,4.882813,97.949219,99.169922,99.951172,10.9375,80.46875
84.228516,6.298828,20.654297,99.121094,99.951172,15.283203,99.121094
99.951172,0.976563,85.009766,98.974609,98.4375,41.40625,99.951172
56.34765600000001,0.09765599999999999,28.955078000000004,81.298828,52.197266,99.951172,99.951172
15.478516,1.513672,99.316406,99.267578,45.751953,10.693359,99.951172
15.869141,5.273438,18.847656,99.169922,16.503906,98.925781,99.951172
98.583984,18.75,99.951172,31.640625,43.75,98.974609,99.951172
99.316406,29.736328000000004,99.951172,2.197266,25.683594,99.951172,99.951172
98.974609,5.615234,30.224609,87.109375,28.222656,99.951172,99.951172
99.951172,8.740234,86.865234,99.951172,26.367188,80.371094,75.292969
99.951172,1.220703,26.025391,79.199219,30.664063,16.210938,98.583984
99.951172,22.753906,98.681641,98.291016,33.740234,25.341797,99.023438
99.951172,5.029297,99.951172,99.023438,79.785156,27.539063,98.876953
99.951172,21.337891,99.951172,99.072266,99.072266,9.960938,98.486328
99.951172,3.515625,99.316406,98.974609,98.828125,30.224609,98.095703
99.951172,39.990234,78.173828,98.876953,85.351563,11.474609,98.828125
75.048828,99.951172,43.115234,98.535156,99.951172,23.291016,39.648438
99.414063,99.951172,60.107422,99.951172,21.240234,0.19531300000000001,81.396484
99.462891,91.162109,26.123047,99.951172,94.433594,3.7597660000000004,99.951172
65.429688,21.289063,3.027344,57.275391000000006,52.783203,16.992188,99.951172
99.951172,12.353516,23.779297,72.802734,14.208984,46.582031,98.681641
99.951172,26.269531,64.404297,99.951172,86.132813,66.650391,98.730469
99.023438,17.089844,88.574219,7.2265630000000005,99.951172,25.097656,44.482422
99.414063,44.628906,99.267578,52.001953,30.419921999999996,59.716797,74.755859
4.638672,68.164063,99.316406,99.951172,95.019531,22.021484,60.302733999999994
16.357422,99.951172,99.951172,3.6132809999999997,47.265625,65.380859,22.070313
99.267578,57.373047,99.951172,46.875,18.408203,88.574219,49.707031
98.681641,50.341797,23.242188,47.363281,7.763672,13.330078,83.251953
27.734375,99.169922,46.191406,59.765625,6.884766,31.835938,40.722656
98.681641,69.433594,12.5,22.802734,22.412109,5.566406,46.679688
99.365234,19.189453,55.078125,6.494141,54.492188,11.523438,99.951172
99.121094,41.992188,2.978516,6.982422,27.929688,26.660156,65.771484
98.779297,4.248047,17.529297,41.357422,63.623047,12.011719,98.974609
99.414063,42.1875,35.644531,25.439453,55.273438,54.19921899999999,8.349609
99.560547,11.572266,16.845703,2.148438,37.158203,10.986328,45.458984
99.414063,70.849609,34.912109,26.025391,84.375,0.6835939999999999,21.533203
99.365234,38.916016,50.146484,12.011719,98.730469,2.34375,10.205078
99.414063,31.396484,12.695313,0.439453,97.412109,2.001953,73.4375
99.951172,57.617188,6.689453,0.19531300000000001,70.556641,8.886719,50.146484
99.414063,35.449219,56.73828100000001,23.876953,52.197266,28.515625,15.527344
99.462891,6.298828,32.519531,6.445313,47.607422,5.175781,39.257813
55.273438,19.433594,19.677734,4.394531,34.912109,1.416016,84.130859
99.511719,25.341797,52.148438,2.832031,48.974609,23.583984,98.974609
57.226563,30.566406,26.953125,5.517578,59.27734399999999,16.259766,37.548828
99.951172,2.148438,28.417969,1.416016,97.998047,42.431641,99.951172
3.222656,5.175781,34.326172,33.300781,0.6347659999999999,5.029297,4.052734
99.462891,3.466797,98.486328,6.103516,50.292969,5.517578,19.970703
99.414063,6.787109,99.951172,1.171875,79.248047,0.09765599999999999,17.773438
99.462891,11.083984,98.583984,24.316406,82.958984,29.248046999999996,16.845703
41.796875,7.177734,35.009766,7.177734,20.117188,31.103516,0.19531300000000001
98.779297,49.853516,23.095703,8.544922,28.125,16.796875,25.439453
99.414063,0.390625,98.730469,37.5,5.419922,22.509766,18.408203
99.414063,12.402344,2.294922,29.980469,26.855469,9.082031,42.480469
99.023438,49.267578,86.669922,5.078125,76.855469,35.058594,99.267578
99.267578,99.951172,26.611328000000004,27.539063,99.951172,44.775391,98.535156
21.533203,2.392578,36.279297,8.496094,25.683594,12.353516,46.826172
62.646483999999994,98.046875,52.734375,3.564453,98.632813,4.003906,58.59375
99.951172,94.53125,24.560547,14.404297,18.310547,1.025391,34.179688
99.951172,99.951172,34.521484,36.035156,65.527344,13.720703,32.128906
99.951172,2.099609,33.496094,5.46875,54.19921899999999,4.589844,98.974609
99.023438,51.5625,43.75,54.19921899999999,18.994141,13.720703,93.798828
23.828125,6.005859,17.822266,49.072266,40.966797,12.841797,99.951172
99.951172,8.056641,42.626953,51.025391,10.986328,16.308594,99.951172
99.951172,60.595703,99.951172,31.201171999999996,1.953125,19.580078,99.951172
99.951172,99.951172,46.484375,7.519531,86.083984,20.3125,99.951172
99.951172,99.121094,98.632813,6.005859,67.138672,6.591797,99.951172
99.951172,98.974609,7.324219,4.345703,60.15625,0.244141,99.169922
82.275391,99.951172,99.951172,99.121094,97.900391,5.029297,97.851563
99.121094,36.376953,99.951172,98.779297,29.541016,3.4179690000000003,99.951172
99.951172,25.341797,61.523438,34.277344,16.650391,3.857422,17.041016
99.951172,12.060547,99.316406,8.740234,28.955078000000004,2.197266,13.378906
99.951172,35.595703,99.023438,79.541016,97.900391,17.089844,88.818359
99.951172,33.300781,99.951172,43.554688,99.072266,92.138672,22.705078
99.951172,1.269531,99.951172,49.462891,99.21875,99.951172,74.755859
37.792969,3.076172,98.730469,66.113281,98.828125,99.951172,99.951172
99.414063,47.119141,3.90625,36.083984,6.494141,98.4375,99.951172
99.951172,42.578125,99.951172,40.087891,86.376953,98.925781,99.951172
99.951172,21.435547,55.859375,10.791016,69.873047,99.951172,74.414063
99.462891,44.53125,98.339844,99.951172,99.951172,99.951172,16.943359
99.462891,29.736328000000004,2.880859,10.253906,99.951172,91.210938,99.169922
99.951172,99.951172,23.876953,98.486328,87.060547,54.052733999999994,99.169922
77.490234,86.572266,99.951172,23.193359,99.951172,12.109375,99.169922
99.169922,98.583984,0.048827999999999996,98.681641,6.152344,5.517578,99.121094
98.730469,99.951172,37.548828,98.828125,18.017578,11.865234,99.121094
20.410156,23.681641,21.875,39.355469,73.632813,31.054688,99.169922
99.951172,65.917969,38.476563,55.224608999999994,88.134766,16.552734,14.306641
99.951172,90.722656,99.951172,44.287109,22.412109,15.771484,99.951172
99.951172,98.291016,7.666016,56.005858999999994,58.447266000000006,0.488281,97.460938
98.876953,96.972656,62.98828100000001,60.693358999999994,41.845703,6.494141,9.179688
99.951172,86.71875,34.912109,56.835938,46.044922,94.628906,97.998047
99.951172,10.888672,27.685546999999996,99.951172,26.025391,39.0625,11.523438
99.951172,29.492188,33.740234,99.951172,57.51953100000001,99.121094,77.832031
99.414063,24.804688,76.220703,69.384766,75.78125,10.15625,79.394531
99.951172,17.919922,24.21875,67.724609,21.386719,99.951172,5.859375
99.951172,2.978516,3.173828,97.65625,2.880859,18.847656,42.919922
63.57421899999999,1.9042970000000001,1.6601560000000002,99.951172,22.216797,46.289063,3.076172
62.890625,0.732422,27.246094,99.951172,32.910156,47.65625,89.111328
42.919922,99.951172,0.6347659999999999,98.925781,3.027344,41.943359,42.285156
98.828125,6.298828,18.603516,42.431641,5.957031,34.179688,19.091797
99.951172,99.072266,12.548828,17.822266,22.167969,89.648438,11.035156
99.951172,98.144531,9.228516,61.181641000000006,28.369141,94.53125,7.373047
99.951172,99.951172,5.029297,71.875,29.931641,98.681641,4.980469
99.951172,35.546875,13.623047,98.242188,41.210938,99.951172,46.289063
99.951172,16.992188,2.636719,98.876953,56.591797,32.03125,18.505859
18.505859,14.990234,10.449219,99.951172,42.822266,99.023438,13.037109
99.951172,22.412109,24.755859,3.271484,67.382813,99.951172,6.982422
99.951172,4.931641,14.550781,98.583984,38.623047,51.220703,93.847656
99.951172,11.083984,99.951172,10.351563,42.626953,64.941406,37.158203
62.939453,11.572266,98.583984,99.951172,58.398438,27.783203000000004,42.773438
99.560547,15.283203,98.242188,99.951172,99.951172,9.033203,3.8085940000000003
99.462891,7.324219,58.10546899999999,1.9042970000000001,64.160156,12.5,26.464844
98.4375,2.832031,99.951172,24.316406,20.214844,15.917969,47.998047
91.943359,1.464844,99.951172,27.392578000000004,68.847656,16.845703,22.070313
99.414063,42.285156,75.634766,54.638672,3.6132809999999997,4.736328,54.00390600000001
