Rat18,Rat3,Rat9,Rat14,Rat4,Rat19,Rat15
5.029297,99.951172,99.951172,64.501953,36.425781,19.287109,99.951172
9.130859,56.93359399999999,99.951172,62.20703100000001,10.15625,63.720703,99.951172
6.152344,100.0,99.951172,100.0,5.126953,100.0,36.914063
38.720703,100.0,99.951172,100.0,17.041016,100.0,99.951172
14.599609,100.0,99.951172,100.0,10.693359,99.951172,99.951172
18.408203,20.068359,100.0,100.0,19.042969,91.455078,99.951172
25.78125,100.0,100.0,16.601563,49.121094,86.230469,100.0
21.044922,18.75,99.951172,21.777344,23.681641,99.951172,100.0
55.664063,99.951172,100.0,48.974609,10.693359,42.675781,100.0
100.0,99.951172,100.0,99.951172,37.890625,99.951172,99.951172
63.330078,99.951172,35.644531,99.951172,40.039063,99.951172,99.951172
61.865233999999994,31.884766,31.396484,100.0,30.664063,90.527344,99.951172
56.201172,99.951172,100.0,100.0,37.207031,100.0,99.951172
14.111328,99.951172,11.523438,100.0,34.082031,19.775391,99.951172
37.158203,39.746094,99.951172,100.0,55.273438,74.560547,48.4375
69.140625,99.951172,95.410156,100.0,99.951172,34.960938,27.246094
100.0,99.951172,85.839844,99.951172,92.578125,5.224609,99.951172
99.951172,99.951172,100.0,100.0,100.0,52.63671899999999,99.951172
71.044922,99.951172,100.0,100.0,68.75,20.703125,99.951172
90.087891,99.951172,100.0,100.0,77.734375,6.8359380000000005,99.951172
37.646484,99.951172,100.0,100.0,22.900391,23.681641,99.951172
99.951172,83.59375,100.0,100.0,26.513671999999996,100.0,100.0
16.503906,80.517578,100.0,10.15625,29.785156,76.464844,100.0
34.228516,63.427733999999994,100.0,25.292969,99.072266,100.0,92.871094
8.056641,69.53125,83.935547,99.951172,79.980469,100.0,100.0
40.771484,50.341797,53.22265600000001,99.951172,14.355469,100.0,28.222656
17.041016,70.507813,58.154297,99.951172,5.419922,100.0,99.951172
24.609375,100.0,61.767578,99.951172,10.791016,100.0,99.951172
20.703125,100.0,48.632813,99.951172,7.177734,100.0,29.150391
34.863281,70.214844,68.652344,99.951172,5.664063,89.550781,78.955078
40.478516,36.035156,40.722656,99.951172,5.566406,1.8554689999999998,100.0
3.8085940000000003,92.773438,5.566406,100.0,11.865234,96.728516,100.0
9.130859,95.3125,16.699219,100.0,2.392578,99.951172,100.0
1.464844,100.0,26.611328000000004,99.951172,29.443359,99.951172,100.0
3.3203129999999996,2.783203,2.832031,99.951172,12.451172,99.951172,100.0
9.912109,99.951172,99.951172,100.0,13.476563,99.951172,100.0
10.595703,99.951172,99.951172,100.0,2.978516,99.951172,79.785156
39.550781,99.951172,99.951172,99.951172,19.921875,92.285156,73.583984
100.0,99.951172,34.130859,100.0,100.0,99.951172,100.0
51.513672,99.951172,70.361328,100.0,99.951172,99.951172,100.0
18.017578,99.951172,100.0,99.951172,40.039063,84.667969,100.0
8.349609,99.951172,100.0,99.951172,11.572266,69.873047,100.0
47.753906,99.951172,86.865234,99.951172,89.208984,100.0,100.0
22.167969,77.636719,13.671875,57.958983999999994,33.544922,100.0,100.0
21.679688,83.056641,99.951172,99.951172,100.0,3.8085940000000003,100.0
8.642578,100.0,50.976563,38.671875,99.951172,80.615234,100.0
35.253906,100.0,90.917969,98.632813,7.568359,95.654297,100.0
17.529297,100.0,99.951172,99.951172,85.302734,65.625,66.650391
30.126953000000004,100.0,93.066406,99.951172,4.296875,72.119141,99.951172
15.039063,100.0,100.0,99.951172,40.283203,83.740234,15.917969
40.527344,100.0,1.6601560000000002,99.951172,100.0,99.951172,100.0
99.951172,100.0,59.47265600000001,99.951172,99.951172,99.951172,100.0
25.195313,100.0,65.722656,99.951172,8.789063,99.951172,100.0
100.0,100.0,54.78515600000001,36.621094,24.365234,99.951172,58.30078100000001
11.865234,100.0,61.914063,99.951172,34.667969,99.951172,99.951172
19.921875,100.0,94.873047,7.373047,10.888672,64.257813,99.951172
56.005858999999994,100.0,48.974609,100.0,13.476563,99.951172,100.0
16.503906,3.955078,39.550781,10.546875,9.228516,99.951172,99.951172
17.919922,46.777344,68.505859,71.142578,1.025391,99.951172,30.224609
45.556641,44.775391,100.0,100.0,100.0,99.951172,100.0
38.574219,13.769531,100.0,31.640625,51.5625,99.951172,100.0
38.232422,79.199219,27.929688,13.037109,99.951172,64.746094,100.0
5.664063,56.201172,78.955078,99.951172,100.0,100.0,99.951172
13.671875,9.472656,49.951172,99.951172,100.0,100.0,99.951172
11.865234,99.951172,99.951172,99.951172,99.951172,55.859375,100.0
31.201171999999996,99.951172,99.951172,99.951172,99.951172,99.951172,100.0
27.929688,99.951172,100.0,99.951172,99.951172,99.951172,87.402344
16.601563,99.951172,100.0,79.492188,100.0,20.703125,99.951172
11.328125,4.345703,26.757813,15.136719,100.0,100.0,99.951172
15.869141,99.951172,99.951172,56.15234399999999,21.240234,100.0,99.951172
29.443359,99.951172,21.09375,99.951172,99.951172,100.0,99.951172
16.845703,52.001953,100.0,99.951172,80.908203,100.0,99.951172
30.322266,62.01171899999999,27.001953000000004,99.951172,76.171875,100.0,99.951172
27.441406,5.322266,99.951172,99.951172,89.941406,100.0,99.951172
13.330078,6.054688,95.751953,100.0,2.587891,65.771484,15.917969
13.134766,31.103516,63.330078,100.0,5.126953,49.316406,8.203125
10.449219,11.376953,79.6875,100.0,99.951172,64.257813,64.501953
8.056641,31.347656,54.78515600000001,100.0,100.0,86.474609,19.238281
10.351563,52.978516000000006,16.113281,100.0,100.0,100.0,45.263672
0.6835939999999999,32.421875,43.017578,100.0,13.916016,40.380859,37.646484
23.291016,24.707031,10.888672,100.0,99.951172,30.224609,27.880859
25.634766,37.011719,1.025391,100.0,100.0,36.962891,7.275391
35.839844,24.267578,18.310547,100.0,3.173828,32.763672,21.09375
13.232422,32.568359,2.636719,60.83984399999999,99.951172,62.59765600000001,100.0
20.654297,16.699219,12.548828,100.0,42.285156,94.824219,100.0
53.955078,16.845703,6.982422,14.453125,100.0,4.199219,53.515625
100.0,9.570313,9.423828,99.951172,53.173828,31.591796999999996,99.951172
65.527344,1.953125,5.908203,99.951172,99.951172,22.851563,99.951172
11.132813,100.0,6.103516,99.951172,64.648438,97.314453,27.246094
65.625,33.203125,6.982422,99.951172,4.882813,100.0,22.070313
9.814453,4.345703,4.833984,99.951172,49.072266,54.638672,78.222656
31.835938,11.767578,7.470703,99.951172,24.462891,37.011719,91.943359
98.4375,12.304688,11.181641,99.951172,32.568359,34.570313,100.0
6.445313,15.332031,22.363281,100.0,37.939453,15.429688,100.0
84.667969,36.474609,27.880859,100.0,30.419921999999996,6.8359380000000005,27.685546999999996
22.460938,43.212891,23.779297,47.363281,2.734375,12.158203,72.119141
85.351563,95.117188,0.244141,100.0,5.46875,25.976563,100.0
44.970703,100.0,10.058594,100.0,27.34375,100.0,100.0
69.628906,100.0,28.710938,100.0,21.972656,53.173828,100.0
80.175781,100.0,37.841797,30.175781,100.0,99.951172,5.126953
28.466796999999996,100.0,26.464844,100.0,20.849609,46.972656,14.013672
100.0,100.0,1.8554689999999998,100.0,5.419922,100.0,88.183594
37.451172,100.0,4.296875,32.373047,4.345703,100.0,99.951172
27.880859,100.0,14.257813,45.166016,4.931641,56.54296899999999,99.951172
100.0,99.951172,2.392578,100.0,10.205078,99.951172,99.951172
100.0,99.951172,6.689453,100.0,18.408203,59.570313,21.777344
5.224609,40.136719,94.189453,100.0,3.7597660000000004,63.134766000000006,26.953125
7.03125,100.0,82.861328,100.0,15.185547,99.951172,100.0
29.394531,99.560547,21.679688,65.332031,19.189453,49.609375,99.951172
2.978516,84.082031,8.349609,100.0,0.488281,20.3125,99.951172
28.564453000000004,48.974609,17.333984,100.0,27.929688,99.951172,99.951172
29.150391,99.951172,23.095703,45.605469,6.005859,47.65625,99.951172
0.585938,12.5,69.726563,100.0,10.15625,100.0,89.84375
29.980469,37.597656,84.423828,99.951172,14.794922,100.0,11.376953
